epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5068.59,0.17093,0.21086,0.76226,0.99701,0.99663,0.99487,0.93704,0.17206,0.1906,0.76634,0.005842,0.005842,0.005842
44,5180.23,0.16824,0.20651,0.76235,0.99558,0.99523,0.99477,0.93538,0.17522,0.19576,0.76588,0.005743,0.005743,0.005743
45,5291.58,0.16829,0.20598,0.76206,0.99525,0.99494,0.99482,0.93711,0.169,0.18762,0.76507,0.005644,0.005644,0.005644
46,5406.31,0.1667,0.20434,0.76201,0.99726,0.99695,0.9949,0.93756,0.17516,0.19951,0.76452,0.005545,0.005545,0.005545
47,5522.92,0.16469,0.20155,0.76179,0.99722,0.99685,0.99492,0.93649,0.16758,0.18334,0.76541,0.005446,0.005446,0.005446
48,5640.23,0.1638,0.20164,0.76165,0.99667,0.99626,0.99484,0.93656,0.16936,0.18632,0.7652,0.005347,0.005347,0.005347
49,5756.19,0.16329,0.20017,0.76167,0.99837,0.99804,0.99492,0.93731,0.16929,0.19017,0.76475,0.005248,0.005248,0.005248
50,5872.2,0.16142,0.20028,0.76131,0.99706,0.99672,0.99489,0.93652,0.16768,0.18622,0.76454,0.005149,0.005149,0.005149
51,5989.78,0.15901,0.19841,0.76122,0.9969,0.99648,0.99489,0.93717,0.16881,0.19026,0.76423,0.00505,0.00505,0.00505
52,6106.41,0.15885,0.19815,0.76118,0.99792,0.99758,0.99491,0.9355,0.1659,0.18475,0.76413,0.004951,0.004951,0.004951
53,6220.09,0.15748,0.19476,0.76091,0.9978,0.99749,0.99494,0.93803,0.16711,0.18644,0.7646,0.004852,0.004852,0.004852
54,6337.4,0.15796,0.19651,0.76103,0.99851,0.99809,0.99494,0.93646,0.1648,0.18011,0.76449,0.004753,0.004753,0.004753
55,6452.68,0.15568,0.19618,0.76058,0.99859,0.99823,0.99494,0.93669,0.16736,0.18668,0.7635,0.004654,0.004654,0.004654
56,6566.09,0.1536,0.19557,0.76053,0.99617,0.99567,0.99488,0.93872,0.16342,0.182,0.7636,0.004555,0.004555,0.004555
57,6682.67,0.15207,0.19208,0.7603,0.99556,0.99521,0.99482,0.93565,0.16944,0.18647,0.76368,0.004456,0.004456,0.004456
58,6800.06,0.15281,0.1927,0.7601,0.99782,0.99731,0.99493,0.93726,0.16534,0.18084,0.76356,0.004357,0.004357,0.004357
59,6915.36,0.14959,0.18933,0.76032,0.99658,0.99603,0.99489,0.93663,0.16457,0.17486,0.76436,0.004258,0.004258,0.004258
60,7031.68,0.15099,0.19211,0.7602,0.998,0.99749,0.99493,0.9369,0.16724,0.1842,0.76369,0.004159,0.004159,0.004159
61,7148.32,0.14822,0.18586,0.75989,0.99655,0.99622,0.99486,0.93723,0.16349,0.17641,0.76352,0.00406,0.00406,0.00406
62,7262.74,0.1466,0.18623,0.75973,0.99699,0.99653,0.9949,0.93869,0.16366,0.17875,0.76321,0.003961,0.003961,0.003961
63,7380.15,0.14435,0.18353,0.75973,0.99791,0.99745,0.99492,0.93829,0.15967,0.16902,0.76363,0.003862,0.003862,0.003862
64,7497.08,0.14446,0.18552,0.75949,0.99758,0.99704,0.99489,0.93675,0.16133,0.18135,0.76233,0.003763,0.003763,0.003763
