epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1880.25,0.70571,0.30521,0.83051,0.99593,0.99201,0.99491,0.90754,0.45344,0.2458,0.77742,0.005743,0.005743,0.005743
45,1922.09,0.69575,0.30227,0.8299,0.99233,0.99026,0.99482,0.91068,0.43362,0.24218,0.77663,0.005644,0.005644,0.005644
46,1964.48,0.69607,0.30151,0.82851,0.99489,0.99329,0.99484,0.91207,0.44509,0.24512,0.77744,0.005545,0.005545,0.005545
47,2006.85,0.69226,0.30004,0.82719,0.99484,0.99401,0.9949,0.91177,0.4379,0.24015,0.77558,0.005446,0.005446,0.005446
48,2049.19,0.69051,0.29905,0.82813,0.99483,0.99185,0.99494,0.90974,0.4515,0.24831,0.77724,0.005347,0.005347,0.005347
49,2092.03,0.68423,0.29765,0.82669,0.99552,0.99458,0.99489,0.91273,0.44189,0.24156,0.775,0.005248,0.005248,0.005248
50,2134.7,0.69249,0.29864,0.82845,0.9951,0.9933,0.99496,0.91068,0.44524,0.24185,0.77648,0.005149,0.005149,0.005149
51,2177.03,0.67843,0.29445,0.82535,0.99464,0.99312,0.99488,0.91496,0.424,0.23429,0.77335,0.00505,0.00505,0.00505
52,2219.46,0.68835,0.29791,0.82728,0.99616,0.99419,0.99491,0.9125,0.43648,0.23714,0.77511,0.004951,0.004951,0.004951
53,2262.28,0.6781,0.29424,0.82478,0.99556,0.99258,0.99494,0.91156,0.44295,0.23714,0.77498,0.004852,0.004852,0.004852
54,2305.02,0.66852,0.29031,0.82283,0.99491,0.9933,0.9949,0.9153,0.42929,0.2346,0.77547,0.004753,0.004753,0.004753
55,2347.2,0.67036,0.29106,0.82287,0.99553,0.9942,0.99495,0.9179,0.42314,0.23258,0.77361,0.004654,0.004654,0.004654
56,2389.44,0.66567,0.28978,0.82282,0.99653,0.99578,0.99496,0.91499,0.43142,0.23399,0.77386,0.004555,0.004555,0.004555
57,2431.98,0.66565,0.28934,0.82393,0.99404,0.99334,0.99489,0.91271,0.44078,0.23589,0.77478,0.004456,0.004456,0.004456
58,2474.18,0.66343,0.28777,0.82219,0.99821,0.99667,0.99497,0.91279,0.43034,0.23282,0.77271,0.004357,0.004357,0.004357
